hour, t(sec), P1 (kW), Q1 (kvar), P2 (kW), Q2 (kvar), P3 (kW), Q3 (kvar)
2072, 0.00000, 1054.74, 367.452, 701.499, 192.58, 860.958, 236.935
2073, 0.00000, 1171.92, 442.783, 779.846, 245.674, 957.917, 295.82
2074, 0.00000, 1237.13, 485.167, 824.452, 276.156, 1013.15, 329.697
2075, 0.00000, 1317.11, 537.594, 880.211, 314.517, 1082.22, 372.411
2076, 0.00000, 1381.19, 579.904, 925.75, 346.052, 1138.64, 407.607
2077, 0.00000, 1375.98, 576.454, 922.033, 343.471, 1134.03, 404.724
2078, 0.00000, 1369.47, 572.143, 917.386, 340.247, 1128.27, 401.123
2079, 0.00000, 1382.23, 580.594, 926.494, 346.568, 1139.56, 408.184
2080, 0.00000, 1394.17, 588.516, 935.043, 352.51, 1150.15, 414.824
2081, 0.00000, 1395.47, 589.377, 935.973, 353.156, 1151.3, 415.546
2082, 0.00000, 1340.76, 553.177, 896.94, 326.081, 1102.94, 385.308
2083, 0.00000, 1311.8, 534.097, 876.495, 311.952, 1077.61, 369.552
2084, 0.00000, 1281.22, 514.003, 855.121, 297.221, 1051.13, 353.142
2085, 0.00000, 1231.76, 481.661, 820.735, 273.609, 1008.55, 326.864
2086, 0.00000, 1231.76, 481.661, 820.734, 273.609, 1008.55, 326.863
2087, 0.00000, 1166.42, 439.219, 776.129, 243.142, 953.315, 293.009
2088, 0.00000, 1066.36, 374.869, 709.214, 197.784, 870.502, 242.701
2089, 0.00000, 955.542, 304.592, 635.746, 148.456, 779.692, 188.091
2090, 0.00000, 883.399, 259.414, 587.909, 116.599, 720.637, 152.873
2091, 0.00000, 859.675, 244.656, 572.174, 106.165, 701.225, 141.347
2092, 0.00000, 824.015, 222.563, 548.52, 90.5201, 672.054, 124.073
2093, 0.00000, 819.775, 219.943, 545.707, 88.6631, 668.585, 122.023
2094, 0.00000, 850.971, 239.253, 566.401, 102.342, 694.103, 137.124
2095, 0.00000, 927.473, 286.961, 617.136, 136.038, 756.71, 174.358
2096, 0.00000, 1054.74, 367.452, 701.499, 192.58, 860.958, 236.935
2097, 0.00000, 1171.92, 442.783, 779.846, 245.674, 957.917, 295.82
2098, 0.00000, 1237.13, 485.167, 824.452, 276.156, 1013.15, 329.697
2099, 0.00000, 1317.11, 537.594, 880.211, 314.517, 1082.22, 372.411
2100, 0.00000, 1381.19, 579.904, 925.75, 346.052, 1138.64, 407.607
2101, 0.00000, 1375.98, 576.454, 922.033, 343.471, 1134.03, 404.724
2102, 0.00000, 1369.47, 572.143, 917.386, 340.247, 1128.27, 401.123
2103, 0.00000, 1382.23, 580.594, 926.494, 346.568, 1139.56, 408.184
2104, 0.00000, 1394.17, 588.516, 935.043, 352.51, 1150.15, 414.824
2105, 0.00000, 1395.47, 589.377, 935.973, 353.156, 1151.3, 415.546
2106, 0.00000, 1340.76, 553.177, 896.94, 326.081, 1102.94, 385.308
2107, 0.00000, 1311.8, 534.097, 876.495, 311.952, 1077.61, 369.552
2108, 0.00000, 1281.22, 514.003, 855.121, 297.221, 1051.13, 353.142
2109, 0.00000, 1231.76, 481.661, 820.735, 273.609, 1008.55, 326.864
2110, 0.00000, 1231.76, 481.661, 820.734, 273.609, 1008.55, 326.863
2111, 0.00000, 1166.42, 439.219, 776.129, 243.142, 953.315, 293.009
2112, 0.00000, 1066.36, 374.869, 709.214, 197.784, 870.502, 242.701
2113, 0.00000, 955.542, 304.592, 635.746, 148.456, 779.692, 188.091
2114, 0.00000, 883.399, 259.414, 587.909, 116.599, 720.637, 152.873
2115, 0.00000, 859.675, 244.656, 572.174, 106.165, 701.225, 141.347
2116, 0.00000, 824.015, 222.563, 548.52, 90.5201, 672.054, 124.073
2117, 0.00000, 819.775, 219.943, 545.707, 88.6631, 668.585, 122.023
2118, 0.00000, 850.971, 239.253, 566.401, 102.342, 694.103, 137.124
2119, 0.00000, 927.473, 286.961, 617.136, 136.038, 756.71, 174.358
2120, 0.00000, 1054.74, 367.452, 701.499, 192.58, 860.958, 236.935
2121, 0.00000, 1171.92, 442.783, 779.846, 245.674, 957.917, 295.82
2122, 0.00000, 1237.13, 485.167, 824.452, 276.156, 1013.15, 329.697
2123, 0.00000, 1317.11, 537.594, 880.211, 314.517, 1082.22, 372.411
2124, 0.00000, 1381.19, 579.904, 925.75, 346.052, 1138.64, 407.607
2125, 0.00000, 1375.98, 576.454, 922.033, 343.471, 1134.03, 404.724
2126, 0.00000, 1369.47, 572.143, 917.386, 340.247, 1128.27, 401.123
2127, 0.00000, 1382.23, 580.594, 926.494, 346.568, 1139.56, 408.184
2128, 0.00000, 1394.17, 588.516, 935.043, 352.51, 1150.15, 414.824
2129, 0.00000, 1395.47, 589.377, 935.973, 353.156, 1151.3, 415.546
2130, 0.00000, 1340.76, 553.177, 896.94, 326.081, 1102.94, 385.308
2131, 0.00000, 1311.8, 534.097, 876.495, 311.952, 1077.61, 369.552
2132, 0.00000, 1281.22, 514.003, 855.121, 297.221, 1051.13, 353.142
2133, 0.00000, 1231.76, 481.661, 820.735, 273.609, 1008.55, 326.864
2134, 0.00000, 1231.76, 481.661, 820.734, 273.609, 1008.55, 326.863
2135, 0.00000, 1166.42, 439.219, 776.129, 243.142, 953.315, 293.009
2136, 0.00000, 1066.36, 374.869, 709.214, 197.784, 870.502, 242.701
2137, 0.00000, 955.542, 304.592, 635.746, 148.456, 779.692, 188.091
2138, 0.00000, 883.399, 259.414, 587.909, 116.599, 720.637, 152.873
2139, 0.00000, 859.675, 244.656, 572.174, 106.165, 701.225, 141.347
2140, 0.00000, 824.015, 222.563, 548.52, 90.5201, 672.054, 124.073
2141, 0.00000, 819.775, 219.943, 545.707, 88.6631, 668.585, 122.023
2142, 0.00000, 850.971, 239.253, 566.401, 102.342, 694.103, 137.124
2143, 0.00000, 927.473, 286.961, 617.136, 136.038, 756.71, 174.358
2144, 0.00000, 1054.74, 367.452, 701.499, 192.58, 860.958, 236.935
2145, 0.00000, 1171.92, 442.783, 779.846, 245.674, 957.917, 295.82
2146, 0.00000, 1237.13, 485.167, 824.452, 276.156, 1013.15, 329.697
2147, 0.00000, 1317.11, 537.594, 880.211, 314.517, 1082.22, 372.411
2148, 0.00000, 1381.19, 579.904, 925.75, 346.052, 1138.64, 407.607
2149, 0.00000, 1375.98, 576.454, 922.033, 343.471, 1134.03, 404.724
2150, 0.00000, 1369.47, 572.143, 917.386, 340.247, 1128.27, 401.123
2151, 0.00000, 1382.23, 580.594, 926.494, 346.568, 1139.56, 408.184
2152, 0.00000, 1394.17, 588.516, 935.043, 352.51, 1150.15, 414.824
2153, 0.00000, 1395.47, 589.377, 935.973, 353.156, 1151.3, 415.546
2154, 0.00000, 1340.76, 553.177, 896.94, 326.081, 1102.94, 385.308
2155, 0.00000, 1311.8, 534.097, 876.495, 311.952, 1077.61, 369.552
2156, 0.00000, 1281.22, 514.003, 855.121, 297.221, 1051.13, 353.142
2157, 0.00000, 1231.76, 481.661, 820.735, 273.609, 1008.55, 326.864
2158, 0.00000, 1231.76, 481.661, 820.734, 273.609, 1008.55, 326.863
2159, 0.00000, 1166.42, 439.219, 776.129, 243.142, 953.315, 293.009
2160, 0.00000, 1066.36, 374.869, 709.214, 197.784, 870.502, 242.701
2161, 0.00000, 955.542, 304.592, 635.746, 148.456, 779.692, 188.091
2162, 0.00000, 883.399, 259.414, 587.909, 116.599, 720.637, 152.873
2163, 0.00000, 859.675, 244.656, 572.174, 106.165, 701.225, 141.347
2164, 0.00000, 824.015, 222.563, 548.52, 90.5201, 672.054, 124.073
2165, 0.00000, 819.775, 219.943, 545.707, 88.6631, 668.585, 122.023
2166, 0.00000, 850.971, 239.253, 566.401, 102.342, 694.103, 137.124
2167, 0.00000, 927.473, 286.961, 617.136, 136.038, 756.71, 174.358
2168, 0.00000, 1054.74, 367.452, 701.499, 192.58, 860.958, 236.935
2169, 0.00000, 1171.92, 442.783, 779.846, 245.674, 957.917, 295.82
2170, 0.00000, 1237.13, 485.167, 824.452, 276.156, 1013.15, 329.697
2171, 0.00000, 1317.11, 537.594, 880.211, 314.517, 1082.22, 372.411
2172, 0.00000, 1381.19, 579.904, 925.75, 346.052, 1138.64, 407.607
2173, 0.00000, 1375.98, 576.454, 922.033, 343.471, 1134.03, 404.724
2174, 0.00000, 1369.47, 572.143, 917.386, 340.247, 1128.27, 401.123
2175, 0.00000, 1382.23, 580.594, 926.494, 346.568, 1139.56, 408.184
2176, 0.00000, 1394.17, 588.516, 935.043, 352.51, 1150.15, 414.824
2177, 0.00000, 1395.47, 589.377, 935.973, 353.156, 1151.3, 415.546
2178, 0.00000, 1340.76, 553.177, 896.94, 326.081, 1102.94, 385.308
2179, 0.00000, 1311.8, 534.097, 876.495, 311.952, 1077.61, 369.552
2180, 0.00000, 1281.22, 514.003, 855.121, 297.221, 1051.13, 353.142
2181, 0.00000, 1231.76, 481.661, 820.735, 273.609, 1008.55, 326.864
2182, 0.00000, 1231.76, 481.661, 820.734, 273.609, 1008.55, 326.863
2183, 0.00000, 1166.42, 439.219, 776.129, 243.142, 953.315, 293.009
2184, 0.00000, 1066.36, 374.869, 709.214, 197.784, 870.502, 242.701
2185, 0.00000, 955.542, 304.592, 635.746, 148.456, 779.692, 188.091
2186, 0.00000, 883.399, 259.414, 587.909, 116.599, 720.637, 152.873
2187, 0.00000, 859.675, 244.656, 572.174, 106.165, 701.225, 141.347
2188, 0.00000, 824.015, 222.563, 548.52, 90.5201, 672.054, 124.073
2189, 0.00000, 819.775, 219.943, 545.707, 88.6631, 668.585, 122.023
2190, 0.00000, 850.971, 239.253, 566.401, 102.342, 694.103, 137.124
2191, 0.00000, 927.473, 286.961, 617.136, 136.038, 756.711, 174.358
2192, 0.00000, 1054.74, 367.452, 701.499, 192.58, 860.958, 236.935
2193, 0.00000, 1171.92, 442.783, 779.846, 245.674, 957.917, 295.82
2194, 0.00000, 1237.13, 485.167, 824.452, 276.156, 1013.15, 329.697
2195, 0.00000, 1317.11, 537.594, 880.211, 314.517, 1082.22, 372.411
2196, 0.00000, 1381.19, 579.904, 925.75, 346.052, 1138.64, 407.607
2197, 0.00000, 1375.98, 576.454, 922.033, 343.471, 1134.03, 404.724
2198, 0.00000, 1369.47, 572.143, 917.386, 340.247, 1128.27, 401.123
2199, 0.00000, 1382.23, 580.594, 926.494, 346.568, 1139.56, 408.184
2200, 0.00000, 1394.17, 588.516, 935.044, 352.51, 1150.15, 414.824
2201, 0.00000, 1395.47, 589.377, 935.973, 353.156, 1151.3, 415.546
2202, 0.00000, 1340.76, 553.177, 896.94, 326.081, 1102.94, 385.308
2203, 0.00000, 1311.8, 534.097, 876.495, 311.952, 1077.61, 369.552
2204, 0.00000, 1281.22, 514.003, 855.121, 297.221, 1051.13, 353.142
2205, 0.00000, 1231.76, 481.661, 820.735, 273.609, 1008.55, 326.864
2206, 0.00000, 1231.76, 481.661, 820.734, 273.609, 1008.55, 326.863
2207, 0.00000, 1166.42, 439.219, 776.13, 243.142, 953.316, 293.01
2208, 0.00000, 1066.36, 374.869, 709.214, 197.784, 870.502, 242.701
2209, 0.00000, 955.542, 304.592, 635.746, 148.456, 779.692, 188.091
2210, 0.00000, 883.399, 259.414, 587.909, 116.599, 720.637, 152.873
2211, 0.00000, 859.675, 244.656, 572.174, 106.165, 701.225, 141.347
2212, 0.00000, 824.015, 222.563, 548.52, 90.5201, 672.054, 124.073
2213, 0.00000, 819.775, 219.943, 545.707, 88.6631, 668.585, 122.023
2214, 0.00000, 850.971, 239.253, 566.401, 102.342, 694.103, 137.124
2215, 0.00000, 927.473, 286.961, 617.136, 136.038, 756.71, 174.358
2216, 0.00000, 1054.74, 367.452, 701.499, 192.58, 860.958, 236.935
2217, 0.00000, 1171.92, 442.783, 779.846, 245.674, 957.917, 295.82
2218, 0.00000, 1237.13, 485.167, 824.452, 276.156, 1013.15, 329.697
2219, 0.00000, 1317.11, 537.594, 880.211, 314.517, 1082.22, 372.411
2220, 0.00000, 1381.19, 579.904, 925.75, 346.052, 1138.64, 407.607
2221, 0.00000, 1375.98, 576.454, 922.033, 343.471, 1134.03, 404.724
2222, 0.00000, 1369.47, 572.143, 917.386, 340.247, 1128.27, 401.123
2223, 0.00000, 1382.23, 580.594, 926.494, 346.568, 1139.56, 408.184
2224, 0.00000, 1394.17, 588.516, 935.044, 352.51, 1150.15, 414.824
2225, 0.00000, 1395.47, 589.377, 935.973, 353.156, 1151.3, 415.546
2226, 0.00000, 1340.76, 553.177, 896.94, 326.081, 1102.94, 385.308
2227, 0.00000, 1311.8, 534.097, 876.495, 311.952, 1077.61, 369.552
2228, 0.00000, 1281.22, 514.003, 855.121, 297.221, 1051.13, 353.142
2229, 0.00000, 1231.76, 481.661, 820.735, 273.609, 1008.55, 326.864
2230, 0.00000, 1231.76, 481.661, 820.734, 273.609, 1008.55, 326.863
2231, 0.00000, 1166.42, 439.219, 776.13, 243.142, 953.316, 293.01
2232, 0.00000, 1066.36, 374.869, 709.214, 197.784, 870.502, 242.701
2233, 0.00000, 955.542, 304.592, 635.746, 148.456, 779.692, 188.091
2234, 0.00000, 883.399, 259.414, 587.909, 116.599, 720.637, 152.873
2235, 0.00000, 859.675, 244.656, 572.174, 106.165, 701.225, 141.347
2236, 0.00000, 824.015, 222.563, 548.52, 90.5201, 672.054, 124.073
2237, 0.00000, 819.775, 219.943, 545.707, 88.6631, 668.585, 122.023
2238, 0.00000, 850.971, 239.253, 566.401, 102.342, 694.103, 137.124
2239, 0.00000, 927.473, 286.961, 617.136, 136.038, 756.71, 174.358
2240, 0.00000, 1054.74, 367.452, 701.499, 192.58, 860.958, 236.935
2241, 0.00000, 1171.92, 442.783, 779.846, 245.674, 957.917, 295.82
2242, 0.00000, 1237.13, 485.167, 824.452, 276.156, 1013.15, 329.697
2243, 0.00000, 1317.11, 537.594, 880.211, 314.517, 1082.22, 372.411
2244, 0.00000, 1381.19, 579.904, 925.75, 346.052, 1138.64, 407.607
2245, 0.00000, 1375.98, 576.454, 922.033, 343.471, 1134.03, 404.724
2246, 0.00000, 1369.47, 572.143, 917.386, 340.247, 1128.27, 401.123
2247, 0.00000, 1382.23, 580.594, 926.494, 346.568, 1139.56, 408.184
2248, 0.00000, 1394.17, 588.516, 935.044, 352.51, 1150.15, 414.824
2249, 0.00000, 1395.47, 589.377, 935.973, 353.156, 1151.3, 415.546
2250, 0.00000, 1340.76, 553.177, 896.94, 326.081, 1102.94, 385.308
2251, 0.00000, 1311.8, 534.097, 876.495, 311.952, 1077.61, 369.552
2252, 0.00000, 1281.22, 514.003, 855.121, 297.221, 1051.13, 353.142
2253, 0.00000, 1231.76, 481.661, 820.735, 273.609, 1008.55, 326.864
2254, 0.00000, 1231.76, 481.661, 820.734, 273.609, 1008.55, 326.863
2255, 0.00000, 1166.42, 439.219, 776.13, 243.142, 953.316, 293.01
2256, 0.00000, 1066.36, 374.869, 709.214, 197.784, 870.502, 242.701
2257, 0.00000, 955.542, 304.592, 635.746, 148.456, 779.692, 188.091
2258, 0.00000, 883.399, 259.414, 587.909, 116.599, 720.637, 152.873
2259, 0.00000, 859.675, 244.656, 572.174, 106.165, 701.225, 141.347
2260, 0.00000, 824.015, 222.563, 548.52, 90.5201, 672.054, 124.073
2261, 0.00000, 819.775, 219.943, 545.707, 88.6631, 668.585, 122.023
2262, 0.00000, 850.971, 239.253, 566.401, 102.342, 694.103, 137.124
2263, 0.00000, 927.473, 286.961, 617.136, 136.038, 756.71, 174.358
2264, 0.00000, 1054.74, 367.452, 701.499, 192.58, 860.958, 236.935
2265, 0.00000, 1171.92, 442.783, 779.846, 245.674, 957.917, 295.82
2266, 0.00000, 1237.13, 485.167, 824.452, 276.156, 1013.15, 329.697
2267, 0.00000, 1317.11, 537.594, 880.211, 314.517, 1082.22, 372.411
2268, 0.00000, 1381.19, 579.904, 925.75, 346.052, 1138.64, 407.607
2269, 0.00000, 1375.98, 576.454, 922.033, 343.471, 1134.03, 404.724
2270, 0.00000, 1369.47, 572.143, 917.386, 340.247, 1128.27, 401.123
2271, 0.00000, 1382.23, 580.594, 926.494, 346.568, 1139.56, 408.184
2272, 0.00000, 1394.17, 588.516, 935.044, 352.51, 1150.15, 414.824
2273, 0.00000, 1395.47, 589.377, 935.973, 353.156, 1151.3, 415.546
2274, 0.00000, 1340.76, 553.177, 896.94, 326.081, 1102.94, 385.308
2275, 0.00000, 1311.8, 534.097, 876.495, 311.952, 1077.61, 369.552
2276, 0.00000, 1281.22, 514.003, 855.121, 297.221, 1051.13, 353.142
2277, 0.00000, 1231.76, 481.661, 820.735, 273.609, 1008.55, 326.864
2278, 0.00000, 1231.76, 481.661, 820.734, 273.609, 1008.55, 326.863
2279, 0.00000, 1166.42, 439.219, 776.13, 243.142, 953.316, 293.01
2280, 0.00000, 1066.36, 374.869, 709.214, 197.784, 870.502, 242.701
2281, 0.00000, 955.542, 304.592, 635.746, 148.456, 779.692, 188.091
2282, 0.00000, 883.399, 259.414, 587.909, 116.599, 720.637, 152.873
2283, 0.00000, 859.675, 244.656, 572.174, 106.165, 701.225, 141.347
2284, 0.00000, 824.015, 222.563, 548.52, 90.5201, 672.054, 124.073
2285, 0.00000, 819.775, 219.943, 545.707, 88.6631, 668.585, 122.023
2286, 0.00000, 850.971, 239.253, 566.401, 102.342, 694.103, 137.124
2287, 0.00000, 927.473, 286.961, 617.136, 136.038, 756.71, 174.358
2288, 0.00000, 1054.74, 367.452, 701.499, 192.58, 860.958, 236.935
2289, 0.00000, 1171.92, 442.783, 779.846, 245.674, 957.917, 295.82
2290, 0.00000, 1237.13, 485.167, 824.452, 276.156, 1013.15, 329.697
2291, 0.00000, 1317.11, 537.594, 880.211, 314.517, 1082.22, 372.411
2292, 0.00000, 1381.19, 579.904, 925.75, 346.052, 1138.64, 407.607
2293, 0.00000, 1375.98, 576.454, 922.033, 343.471, 1134.03, 404.724
2294, 0.00000, 1369.47, 572.143, 917.386, 340.247, 1128.27, 401.123
2295, 0.00000, 1382.23, 580.594, 926.494, 346.568, 1139.56, 408.184
2296, 0.00000, 1394.17, 588.516, 935.044, 352.51, 1150.15, 414.824
2297, 0.00000, 1395.47, 589.377, 935.973, 353.156, 1151.3, 415.546
2298, 0.00000, 1340.76, 553.177, 896.94, 326.081, 1102.94, 385.308
2299, 0.00000, 1311.8, 534.097, 876.495, 311.952, 1077.61, 369.552
2300, 0.00000, 1281.22, 514.003, 855.121, 297.221, 1051.13, 353.142
2301, 0.00000, 1231.76, 481.661, 820.735, 273.609, 1008.55, 326.864
2302, 0.00000, 1231.76, 481.661, 820.734, 273.609, 1008.55, 326.863
2303, 0.00000, 1166.42, 439.219, 776.13, 243.142, 953.316, 293.01
2304, 0.00000, 1066.36, 374.869, 709.214, 197.784, 870.502, 242.701
2305, 0.00000, 955.542, 304.592, 635.746, 148.456, 779.692, 188.091
2306, 0.00000, 883.399, 259.414, 587.909, 116.599, 720.637, 152.873
2307, 0.00000, 859.675, 244.656, 572.174, 106.165, 701.225, 141.347
2308, 0.00000, 824.015, 222.563, 548.52, 90.5201, 672.054, 124.073
2309, 0.00000, 819.775, 219.943, 545.707, 88.6631, 668.585, 122.023
2310, 0.00000, 850.971, 239.253, 566.401, 102.342, 694.103, 137.124
2311, 0.00000, 927.473, 286.961, 617.136, 136.038, 756.71, 174.358
2312, 0.00000, 1054.74, 367.452, 701.499, 192.58, 860.958, 236.935
2313, 0.00000, 1171.92, 442.783, 779.846, 245.674, 957.917, 295.82
2314, 0.00000, 1237.13, 485.167, 824.452, 276.156, 1013.15, 329.697
2315, 0.00000, 1317.11, 537.594, 880.211, 314.517, 1082.22, 372.411
2316, 0.00000, 1381.19, 579.904, 925.75, 346.052, 1138.64, 407.607
2317, 0.00000, 1375.98, 576.454, 922.033, 343.471, 1134.03, 404.724
2318, 0.00000, 1369.47, 572.143, 917.386, 340.247, 1128.27, 401.123
2319, 0.00000, 1382.23, 580.594, 926.494, 346.568, 1139.56, 408.184
2320, 0.00000, 1394.17, 588.516, 935.044, 352.51, 1150.15, 414.824
2321, 0.00000, 1395.47, 589.377, 935.973, 353.156, 1151.3, 415.546
2322, 0.00000, 1340.76, 553.177, 896.94, 326.081, 1102.94, 385.308
2323, 0.00000, 1311.8, 534.097, 876.495, 311.952, 1077.61, 369.552
2324, 0.00000, 1281.22, 514.003, 855.121, 297.221, 1051.13, 353.142
2325, 0.00000, 1231.76, 481.661, 820.735, 273.609, 1008.55, 326.864
2326, 0.00000, 1231.76, 481.661, 820.734, 273.609, 1008.55, 326.863
2327, 0.00000, 1166.42, 439.219, 776.13, 243.142, 953.316, 293.01
2328, 0.00000, 1066.36, 374.869, 709.214, 197.784, 870.502, 242.701
2329, 0.00000, 955.542, 304.592, 635.746, 148.456, 779.692, 188.091
2330, 0.00000, 883.399, 259.414, 587.909, 116.599, 720.637, 152.873
2331, 0.00000, 859.675, 244.656, 572.174, 106.165, 701.225, 141.347
2332, 0.00000, 824.015, 222.563, 548.52, 90.5201, 672.054, 124.073
2333, 0.00000, 819.775, 219.943, 545.707, 88.6631, 668.585, 122.023
2334, 0.00000, 850.971, 239.253, 566.401, 102.342, 694.103, 137.124
2335, 0.00000, 927.473, 286.961, 617.136, 136.038, 756.71, 174.358
2336, 0.00000, 1054.74, 367.452, 701.499, 192.58, 860.958, 236.935
2337, 0.00000, 1171.92, 442.783, 779.846, 245.674, 957.917, 295.82
2338, 0.00000, 1237.13, 485.167, 824.452, 276.156, 1013.15, 329.697
2339, 0.00000, 1317.11, 537.594, 880.211, 314.517, 1082.22, 372.411
2340, 0.00000, 1381.19, 579.904, 925.75, 346.052, 1138.64, 407.607
2341, 0.00000, 1375.98, 576.454, 922.033, 343.471, 1134.03, 404.724
2342, 0.00000, 1369.47, 572.143, 917.386, 340.247, 1128.27, 401.123
2343, 0.00000, 1382.23, 580.594, 926.494, 346.568, 1139.56, 408.184
2344, 0.00000, 1394.17, 588.516, 935.044, 352.51, 1150.15, 414.824
2345, 0.00000, 1395.47, 589.377, 935.973, 353.156, 1151.3, 415.546
2346, 0.00000, 1340.76, 553.177, 896.94, 326.081, 1102.94, 385.308
2347, 0.00000, 1311.8, 534.097, 876.495, 311.952, 1077.61, 369.552
2348, 0.00000, 1281.22, 514.003, 855.121, 297.221, 1051.13, 353.142
2349, 0.00000, 1231.76, 481.661, 820.735, 273.609, 1008.55, 326.864
2350, 0.00000, 1231.76, 481.661, 820.734, 273.609, 1008.55, 326.863
2351, 0.00000, 1166.42, 439.219, 776.13, 243.142, 953.316, 293.01
2352, 0.00000, 1066.36, 374.869, 709.214, 197.784, 870.502, 242.701
2353, 0.00000, 955.542, 304.592, 635.746, 148.456, 779.692, 188.091
2354, 0.00000, 883.399, 259.414, 587.909, 116.599, 720.637, 152.873
2355, 0.00000, 859.675, 244.656, 572.174, 106.165, 701.225, 141.347
2356, 0.00000, 824.015, 222.563, 548.52, 90.5201, 672.054, 124.073
2357, 0.00000, 819.775, 219.943, 545.707, 88.6631, 668.585, 122.023
2358, 0.00000, 850.971, 239.253, 566.401, 102.342, 694.103, 137.124
2359, 0.00000, 927.473, 286.961, 617.136, 136.038, 756.71, 174.358
2360, 0.00000, 1054.74, 367.452, 701.499, 192.58, 860.958, 236.935
2361, 0.00000, 1171.92, 442.783, 779.846, 245.674, 957.917, 295.82
2362, 0.00000, 1237.13, 485.167, 824.452, 276.156, 1013.15, 329.697
2363, 0.00000, 1317.11, 537.594, 880.211, 314.517, 1082.22, 372.411
2364, 0.00000, 1381.19, 579.904, 925.75, 346.052, 1138.64, 407.607
2365, 0.00000, 1375.98, 576.454, 922.033, 343.471, 1134.03, 404.724
2366, 0.00000, 1369.47, 572.143, 917.386, 340.247, 1128.27, 401.123
2367, 0.00000, 1382.23, 580.594, 926.494, 346.568, 1139.56, 408.184
2368, 0.00000, 1394.17, 588.516, 935.044, 352.51, 1150.15, 414.824
2369, 0.00000, 1395.47, 589.377, 935.973, 353.156, 1151.3, 415.546
2370, 0.00000, 1340.76, 553.177, 896.94, 326.081, 1102.94, 385.308
2371, 0.00000, 1311.8, 534.097, 876.495, 311.952, 1077.61, 369.552
2372, 0.00000, 1281.22, 514.003, 855.121, 297.221, 1051.13, 353.142
2373, 0.00000, 1231.76, 481.661, 820.735, 273.609, 1008.55, 326.864
2374, 0.00000, 1231.76, 481.661, 820.734, 273.609, 1008.55, 326.863
2375, 0.00000, 1166.42, 439.219, 776.13, 243.142, 953.316, 293.01
2376, 0.00000, 1066.36, 374.869, 709.214, 197.784, 870.502, 242.701
2377, 0.00000, 955.542, 304.592, 635.746, 148.456, 779.692, 188.091
2378, 0.00000, 883.399, 259.414, 587.909, 116.599, 720.637, 152.873
2379, 0.00000, 859.675, 244.656, 572.174, 106.165, 701.225, 141.347
2380, 0.00000, 824.015, 222.563, 548.52, 90.5201, 672.054, 124.073
2381, 0.00000, 819.775, 219.943, 545.707, 88.6631, 668.585, 122.023
2382, 0.00000, 850.971, 239.253, 566.401, 102.342, 694.103, 137.124
2383, 0.00000, 927.473, 286.961, 617.136, 136.038, 756.71, 174.358
2384, 0.00000, 1054.74, 367.452, 701.499, 192.58, 860.958, 236.935
2385, 0.00000, 1171.92, 442.783, 779.846, 245.674, 957.917, 295.82
2386, 0.00000, 1237.13, 485.167, 824.452, 276.156, 1013.15, 329.697
2387, 0.00000, 1317.11, 537.594, 880.211, 314.517, 1082.22, 372.411
2388, 0.00000, 1381.19, 579.904, 925.75, 346.052, 1138.64, 407.607
2389, 0.00000, 1375.98, 576.454, 922.033, 343.471, 1134.03, 404.724
2390, 0.00000, 1369.47, 572.143, 917.386, 340.247, 1128.27, 401.123
2391, 0.00000, 1382.23, 580.594, 926.494, 346.568, 1139.56, 408.184
2392, 0.00000, 1394.17, 588.516, 935.044, 352.51, 1150.15, 414.824
2393, 0.00000, 1395.47, 589.377, 935.973, 353.156, 1151.3, 415.546
2394, 0.00000, 1340.76, 553.177, 896.94, 326.081, 1102.94, 385.308
2395, 0.00000, 1311.8, 534.097, 876.495, 311.952, 1077.61, 369.552
2396, 0.00000, 1281.22, 514.003, 855.121, 297.221, 1051.13, 353.142
2397, 0.00000, 1231.76, 481.661, 820.735, 273.609, 1008.55, 326.864
2398, 0.00000, 1231.76, 481.661, 820.734, 273.609, 1008.55, 326.863
2399, 0.00000, 1166.42, 439.219, 776.13, 243.142, 953.316, 293.01
2400, 0.00000, 1066.36, 374.869, 709.214, 197.784, 870.502, 242.701
2401, 0.00000, 955.542, 304.592, 635.746, 148.456, 779.692, 188.091
2402, 0.00000, 883.399, 259.414, 587.909, 116.599, 720.637, 152.873
2403, 0.00000, 859.675, 244.656, 572.174, 106.165, 701.225, 141.347
2404, 0.00000, 824.015, 222.563, 548.52, 90.5201, 672.054, 124.073
2405, 0.00000, 819.775, 219.943, 545.707, 88.6631, 668.585, 122.023
2406, 0.00000, 850.971, 239.253, 566.401, 102.342, 694.103, 137.124
2407, 0.00000, 927.473, 286.961, 617.136, 136.038, 756.71, 174.358
2408, 0.00000, 1054.74, 367.452, 701.499, 192.58, 860.958, 236.935
2409, 0.00000, 1171.92, 442.783, 779.846, 245.674, 957.917, 295.82
2410, 0.00000, 1237.13, 485.167, 824.452, 276.156, 1013.15, 329.697
2411, 0.00000, 1317.11, 537.594, 880.211, 314.517, 1082.22, 372.411
2412, 0.00000, 1381.19, 579.904, 925.75, 346.052, 1138.64, 407.607
2413, 0.00000, 1375.98, 576.454, 922.033, 343.471, 1134.03, 404.724
2414, 0.00000, 1369.47, 572.143, 917.386, 340.247, 1128.27, 401.123
2415, 0.00000, 1382.23, 580.594, 926.494, 346.568, 1139.56, 408.184
2416, 0.00000, 1394.17, 588.516, 935.044, 352.51, 1150.15, 414.824
